gene	A01	A03	A06	A07	A08	D36_SCC	D39_SCC	D42_SCC	D44_SCC	E57_SCC	
Speer4b	0	1	1	1	5	7	0	25	17	7	
Speer4c	5	1	0	2	0	3	3	12	3	0	
Arhgef28	90	41	394	100	94	50	107	70	37	108	
Arhgef25	104	1	274	28	19	6	52	30	27	35	
Arhgef26	331	101	1015	280	120	31	427	83	55	16	
Efnb1	267	147	599	149	149	66	113	57	17	147	
Mkl1	78	48	304	101	80	87	149	84	51	92	
Mkl2	368	178	936	317	148	158	559	193	91	131	
Lmna	132	82	594	174	139	114	373	93	47	564	
Fndc3c1	0	11	0	4	0	12	12	30	19	8	
Zdbf2	11	6	7	4	5	59	26	99	37	26	
Sorcs1	2	4	3	1	3	19	37	58	22	14	
Sorcs2	176	40	365	35	67	53	273	112	85	140	
Sorcs3	0	7	9	0	7	30	8	49	19	6	
Trim34a	7	0	25	21	2	0	4	10	4	1	
Trim34b	9	0	11	3	0	0	5	5	2	7	
Prepl	39	22	115	138	82	31	160	35	33	34	
4933412E24Rik	1	1	3	1	2	13	62	21	13	2	
Cdhr1	1	2	30	0	7	18	33	52	32	92	
Cdhr2	0	7	5	4	0	23	5	27	25	8	
Cdhr3	121	56	311	62	74	16	20	27	21	16	
Cdhr5	0	7	8	0	2	35	17	28	29	11	
Gm36633	0	0	0	0	0	0	0	1	0	0	
Gm12866	1	0	0	0	3	13	10	35	20	2	
Tcof1	28	57	343	8	31	64	76	86	37	88	
Gm3279	0	0	0	0	0	0	1	4	5	0	
Prmt10	29	35	58	25	15	27	43	30	11	14	
Olfr523	0	0	0	0	3	12	0	11	2	2	
Olfr522	1	0	0	0	2	0	2	6	5	4	
Olfr521	0	0	3	1	0	0	0	8	6	0	
Olfr520	0	0	14	0	0	26	0	0	3	0	
Olfr527	0	0	0	0	0	4	2	11	1	1	
Olfr525	0	2	0	0	0	0	9	8	15	0	
Olfr524	4	3	0	4	0	11	5	6	8	11	
Gm10640	0	0	0	0	0	10	4	18	7	0	
Gm10649	0	0	0	0	0	0	0	4	1	0	
Zik1	8	3	18	0	2	5	14	21	13	4	
5730435O14Rik	0	0	0	0	0	0	10	26	16	3	
Usp8	235	208	1263	228	173	52	430	105	53	224	
Usp1	104	24	355	119	115	68	206	39	33	177	
Fnd3c2	0	3	0	2	0	10	2	12	0	0	
Usp3	148	100	224	46	74	43	132	80	33	105	
Usp4	160	76	623	76	95	30	308	58	36	221	
Usp5	34	58	310	29	34	19	173	39	25	55	
Usp7	318	156	1135	289	145	76	500	115	68	561	
Rpl38	284	140	547	213	198	168	470	93	36	344	
Rpl39	297	134	762	302	190	63	498	145	69	728	
Rpl36	242	135	524	67	127	107	641	76	72	333	
Rpl37	518	256	1364	362	324	106	1327	99	54	681	
Rpl34	294	156	755	459	251	90	806	8	21	497	
Rpl35	302	188	954	218	157	117	773	126	87	846	
Rpl32	234	65	578	285	125	102	1058	125	74	491	
Rpl30	8	1	19	4	0	4	0	2	1	9	
Rpl31	482	236	928	288	271	97	961	114	42	940	
Anp32e	149	79	654	154	147	6	186	55	26	107	
Fam13b	123	100	540	226	150	30	104	48	28	103	
Fam13c	37	25	208	89	37	24	44	22	15	3	
Fam13a	92	43	408	175	64	28	37	45	49	5	
Bcas2	68	34	117	5	19	45	55	53	37	45	
Bcas3	175	139	296	173	58	16	258	73	36	44	
Bcas1	2	4	1	5	0	12	15	59	39	35	
Gm8369	16	1	1	3	0	5	9	8	4	0	
BC089491	5	4	10	0	7	42	11	29	18	40	
Hist3h2ba	0	0	0	0	0	0	0	8	4	0	
Mlycd	16	3	67	1	55	4	14	23	6	10	
Hist4h4	26	6	95	49	22	7	51	14	10	105	
Rpl3l	6	0	0	0	0	9	29	19	14	2	
Ttbk2	311	74	524	118	167	63	409	211	112	72	
Ammecr1l	244	109	320	76	62	73	224	80	43	178	
Ttbk1	51	19	77	51	31	87	65	187	77	107	
Ncor2	743	344	1726	721	355	306	852	316	205	537	
Ncor1	1238	378	3461	1005	565	235	1348	324	198	368	
1810010D01Rik	0	0	1	0	1	0	1	3	6	2	
Nkiras2	53	62	77	14	3	25	95	36	10	51	
Gkn1	1	1	1	0	2	24	1	16	5	4	
Gkn2	2	0	0	0	2	0	0	8	5	1	
Gkn3	0	0	0	1	0	0	5	4	1	0	
Magohb	10	15	42	0	14	0	34	3	4	16	
Nkiras1	12	6	40	12	0	42	19	45	33	4	
Ppme1	87	20	242	93	27	24	56	15	10	58	
Gltpd2	0	0	2	1	2	1	5	21	8	1	
Gm19276	0	0	0	0	0	8	1	5	5	4	
Cep164	87	37	312	61	53	9	402	69	46	349	
Cep162	80	38	355	53	49	28	195	167	80	44	
Gm14015	0	3	4	0	9	25	17	48	19	7	
Lrriq1	52	9	127	28	2	11	5	31	12	2	
Lrriq3	0	0	0	19	2	7	2	23	5	3	
Lrriq4	0	1	0	2	0	15	7	19	15	4	
Ythdc1	293	70	1041	155	146	68	415	96	59	302	
Vmn2r84	0	0	0	0	0	1	0	7	5	0	
Vmn2r85	0	0	0	0	0	1	5	4	4	0	
Vmn2r86	0	0	0	0	0	0	0	9	3	0	
Vmn2r87	1	0	0	0	0	3	0	3	5	0	
Gm15760	27	4	10	4	1	35	32	89	56	5	
Vmn2r81	0	0	0	0	0	11	3	10	9	1	
Vmn2r82	0	1	0	0	1	6	3	9	8	1	
Vmn2r83	2	0	0	1	1	0	3	10	16	1	
Tinf2	16	10	162	6	22	1	64	42	8	6	
Vmn2r88	0	0	0	0	0	0	5	12	4	0	
Vmn2r89	0	0	0	0	0	4	12	19	4	0	
Egf	0	0	0	2	1	3	6	32	14	10	
Slc4a11	0	8	0	0	0	10	52	14	22	19	
Slc4a10	1	2	3	2	1	18	3	26	15	1	
4930519G04Rik	1	4	1	7	1	3	6	55	30	5	
BC026585	21	43	13	1	2	3	3	11	15	2	
1700013D24Rik	0	0	0	0	0	0	0	3	10	2	
Ptprz1	151	113	284	291	103	80	572	115	94	601	
Pold1	2	0	35	31	2	6	23	25	23	32	
Pold2	43	18	30	19	2	1	36	21	15	10	
Pold3	36	23	155	55	26	54	159	46	34	60	
Pold4	39	19	17	6	0	17	19	16	18	26	
Hdac1	32	28	464	50	14	68	247	82	33	104	
Hdac3	71	41	124	88	81	8	150	45	35	47	
Hdac2	98	43	399	13	18	2	106	19	18	254	
Hdac5	181	70	326	81	82	71	177	65	40	43	
Hdac4	90	58	256	27	49	18	54	36	28	25	
Gm11681	0	0	0	0	0	0	3	5	1	0	
Hdac6	4	14	58	23	0	16	47	54	19	57	
Hdac9	170	117	223	210	70	33	48	133	64	91	
Hdac8	30	15	50	7	1	15	33	30	2	28	
Gmpr	3	29	52	13	20	0	37	12	8	3	
Gmps	60	99	441	146	127	27	250	71	31	166	
1110032F04Rik	0	4	19	0	0	0	1	8	6	5	
4930557J02Rik	1	0	1	0	0	5	1	6	2	1	
Pvr	62	7	201	33	6	16	24	50	27	18	
4732471J01Rik	0	3	2	2	2	36	25	54	42	9	
Lix1l	120	46	367	43	97	6	101	23	8	4	
Ikzf5	159	73	419	44	66	33	130	98	26	20	
Ikzf4	40	25	110	12	3	31	13	63	34	27	
Ikzf1	141	49	216	175	13	27	39	63	42	20	
Ikzf3	106	6	136	14	19	16	49	79	37	25	
Ikzf2	49	33	148	97	92	191	951	193	86	307	
H2afv	68	42	329	45	17	8	121	34	9	38	
Mbtd1	114	25	175	23	110	20	151	69	45	31	
H2afx	14	6	28	25	17	81	115	22	14	43	
H2afy	155	59	226	168	65	29	206	42	29	172	
H2afz	87	19	259	78	80	8	250	50	15	338	
H2afj	75	13	144	14	24	117	117	22	35	81	
Dclk2	13	9	37	10	14	19	36	27	30	9	
Theg	0	0	1	0	1	6	10	16	9	17	
Fgf18	26	3	17	12	47	23	74	31	17	5	
Fgf13	228	254	225	434	224	72	66	47	43	172	
Fgf12	6	23	45	8	6	29	21	52	53	18	
Fgf11	303	227	492	404	156	190	216	290	139	190	
Fgf10	400	409	406	893	358	82	113	80	63	197	
Fgf17	2	0	2	2	6	5	6	26	11	5	
Fgf16	1	0	2	0	6	4	44	36	8	11	
Fgf15	3	2	3	0	1	14	4	34	16	0	
Fgf14	1	0	1	0	0	3	1	12	6	0	
Dpcr1	7052	6095	4974	10323	4745	1718	1685	821	775	4209	
Prss46	1	2	0	0	0	7	0	13	7	8	
Prss44	0	0	1	1	2	3	3	13	10	0	
Prss45	0	0	1	2	1	24	5	13	4	1	
Prss42	6	3	49	4	4	38	28	151	66	5	
Snrpd1	14	1	51	18	11	1	54	14	10	46	
Faap100	29	8	72	2	8	14	5	48	32	19	
Prss41	0	0	0	0	0	10	3	18	2	0	
Prss48	0	0	0	0	0	4	1	11	4	0	
Phc1	65	62	201	136	31	30	125	71	34	104	
Phc3	557	363	1397	511	332	157	613	194	89	306	
Phc2	160	81	282	244	132	92	276	69	48	334	
Sh2d4b	13	0	3	1	15	0	4	12	5	8	
Golt1b	69	20	302	44	21	26	283	54	29	85	
Golt1a	0	1	3	0	3	8	3	38	19	2	
Med25	98	60	109	62	32	12	278	31	11	101	
4930544M13Rik	0	0	0	0	0	1	0	8	3	6	
Grin1os	0	0	24	12	4	37	71	62	64	5	
Chmp3	222	91	995	203	239	76	386	77	41	194	
Chmp7	53	35	305	36	30	28	86	46	32	30	
Chmp6	43	0	114	47	8	3	32	23	3	40	
Chmp5	188	134	658	198	35	7	163	25	19	377	
Mir6940	0	0	0	0	0	0	0	0	0	0	
Gcnt4	2	2	2	13	2	24	5	50	9	24	
Gcnt7	0	0	0	0	1	3	15	17	21	6	
Mir6943	0	0	0	0	0	0	0	0	0	0	
Gcnt1	49	11	112	20	88	71	564	57	29	70	
Fam170b	0	0	2	3	0	6	7	36	15	16	
Fam170a	0	0	1	0	0	17	9	24	0	4	
Gcnt2	247	97	846	256	135	116	505	132	108	154	
Mir6948	0	0	0	0	0	0	0	1	0	0	
Mir6949	0	0	0	0	0	0	0	0	0	0	
Mark4	77	27	143	25	55	14	111	41	18	34	
Mark1	15	2	83	12	15	10	38	38	35	36	
Mark2	283	112	570	155	165	192	548	130	92	302	
Mark3	146	62	228	137	61	42	272	69	33	92	
4930565D16Rik	1	0	1	3	0	4	3	14	12	2	
Nmd3	10	22	141	11	6	5	135	13	5	18	
Rps15a-ps6	1	0	9	1	2	9	19	16	5	41	
Extl1	0	1	1	1	11	34	10	42	26	3	
Extl2	31	16	39	13	15	60	59	26	40	40	
Extl3	258	69	585	132	118	57	336	96	58	194	
Gm7609	32	18	51	26	32	238	297	556	355	144	
Tia1	145	10	114	33	24	28	170	54	20	110	
Tmem160	4	35	26	5	2	4	6	5	3	0	
Tmem163	33	3	61	35	20	6	6	22	26	14	
Tmem165	151	51	209	24	58	26	78	32	9	89	
Tmem164	256	157	584	296	222	61	250	93	29	205	
Tmem167	144	79	422	158	57	165	365	116	61	180	
Tmem169	1	0	2	0	0	17	9	42	20	2	
Tmem168	76	99	327	146	34	61	205	60	22	105	
Tbc1d8	105	30	481	163	11	31	111	62	59	76	
Tbc1d9	49	30	123	21	72	31	70	67	24	54	
Tbc1d1	126	28	205	116	25	23	208	91	54	128	
Tbc1d2	9	14	105	10	35	42	152	81	32	141	
Tbc1d4	52	54	278	66	24	17	95	97	28	10	
Tbc1d5	200	142	307	168	96	107	363	102	57	118	
Tbc1d7	9	0	2	6	0	0	9	5	0	9	
Spata45	0	0	0	0	0	0	2	2	6	0	
Tex13a	1	0	1	0	0	1	28	30	6	1	
Mir3070a	0	0	0	0	0	0	0	0	0	0	
Mir3070b	0	0	0	0	0	0	0	0	0	1	
4933405E24Rik	0	0	1	0	0	0	0	10	5	1	
Upb1	0	7	7	3	1	9	30	53	25	9	
Akirin2	128	36	439	120	91	19	277	36	21	106	
Akirin1	20	19	260	31	122	9	126	24	13	23	
Olfr247	0	0	0	0	0	0	0	0	0	0	
Ap3m1	209	53	500	185	15	3	195	58	25	98	
Ap3m2	14	40	198	25	42	14	41	46	17	23	
Limd2	154	33	184	266	48	54	138	50	22	9	
Limd1	111	57	325	133	103	48	157	65	47	109	
1700046C09Rik	0	0	0	0	0	1	0	1	0	5	
Nop58	21	5	246	8	23	18	56	29	24	126	
Acsf2	111	104	301	147	37	67	88	97	97	41	
Acsf3	10	3	92	8	8	8	26	38	24	68	
Gga2	68	32	156	129	10	39	48	141	57	45	
Sarnp	140	24	481	112	51	7	112	41	16	176	
Cdk13	326	131	793	118	75	43	328	111	48	196	
Kcnip4	0	2	4	0	0	3	5	15	17	0	
Kcnip3	28	7	75	18	5	61	55	102	39	18	
Kcnip2	10	3	6	1	2	24	9	40	10	1	
Kcnip1	2	0	1	0	0	4	16	34	11	1	
4930553E22Rik	0	0	0	0	0	0	0	0	1	0	
4930447A16Rik	0	0	0	0	0	1	2	7	2	2	
Tpcn1	319	116	598	203	168	28	282	74	32	176	
Tpcn2	73	2	20	46	6	22	67	24	6	77	
Tcirg1	108	4	148	37	18	48	167	39	30	82	
Ltbp4	905	470	2570	812	518	55	342	121	75	314	
Ltbp3	243	175	412	119	112	112	326	107	44	223	
Ltbp2	288	105	616	295	138	91	304	163	67	343	
Ltbp1	291	218	1034	284	191	54	326	117	60	104	
Olfr911-ps1	0	0	0	2	0	0	1	7	7	0	
Chadl	0	0	0	0	0	0	2	8	7	3	
3300002P13Rik	0	0	0	0	0	2	1	4	10	0	
9530082P21Rik	47	17	73	19	15	23	52	39	31	10	
Gm1600	47	47	59	43	31	190	159	393	271	66	
Cxx1a	36	6	74	24	1	2	7	0	5	11	
Secisbp2	100	8	146	35	22	13	153	41	21	72	
Cxx1c	35	34	51	29	0	1	4	10	9	1	
Cxx1b	27	37	51	8	13	4	2	10	6	13	
Cacna1h	10	4	23	5	34	29	40	94	53	32	
Cacna1i	24	40	4	9	12	33	34	80	47	72	
Tshz1	124	44	373	223	98	45	256	112	58	135	
Calhm1	2	0	0	0	0	15	1	15	14	0	
Ctdspl2	128	47	532	87	57	55	318	45	47	103	
Cacna1a	68	33	82	20	7	22	99	84	70	54	
Cacna1b	16	8	17	9	14	35	35	85	39	19	
Cacna1c	292	107	527	212	126	79	155	205	130	28	
Cacna1d	208	88	458	392	212	51	238	105	68	15	
Cacna1e	44	14	32	10	7	47	39	120	73	23	
Cacna1f	24	8	34	9	9	18	12	85	40	17	
Cacna1g	3	6	7	11	2	96	48	87	82	25	
Olfr1415	0	0	0	0	0	28	1	4	0	6	
Cacna1s	1	3	13	8	0	13	8	62	51	2	
Xrn1	125	42	744	176	213	35	186	36	35	51	
Xrn2	154	80	540	225	61	102	391	57	41	209	
Pde11a	0	2	5	1	5	10	2	13	7	3	
Gm17689	0	0	0	0	0	2	5	3	3	0	
Nubpl	7	0	1	0	3	6	9	8	10	19	
Dqx1	18	9	74	2	34	43	26	47	34	16	
Dynlrb1	103	52	368	82	29	23	122	34	21	94	
Mir7228	0	0	0	0	0	0	0	0	0	0	
Mir7229	0	0	0	0	0	0	0	0	0	0	
Mir7222	0	0	0	0	0	0	0	5	0	0	
Mir7223	0	0	0	0	0	0	0	0	0	0	
Mir7220	0	0	0	0	0	0	0	0	0	0	
Mir7221	0	0	0	0	0	0	0	0	0	0	
Mir7226	0	0	0	0	0	0	0	0	0	0	
Mir7227	0	0	0	0	0	0	0	0	0	0	
Mir7224	0	0	0	0	0	0	0	0	0	0	
Mir7225	0	0	0	0	0	0	0	0	0	0	
Phb	33	17	275	95	19	28	110	76	31	50	
1600015I10Rik	1	3	0	1	3	43	28	16	36	9	
Cnot8	176	59	327	126	100	46	88	66	36	164	
Gm10486	0	0	0	0	0	0	0	0	0	0	
Gm10487	0	0	0	0	0	0	0	0	0	0	
Cnot3	144	66	255	148	66	86	204	75	58	168	
Cnot2	170	65	411	84	29	23	228	56	34	175	
Cnot1	546	242	1863	300	253	124	1033	213	120	756	
Cnot7	119	26	369	121	65	15	274	42	21	245	
Cnot6	351	63	879	355	144	95	522	71	27	377	
Cnot4	262	108	333	231	69	158	234	123	60	115	
Mir3107	0	0	0	0	0	0	0	0	0	0	
Mir3106	0	0	0	0	0	0	0	1	0	0	
Mir3105	0	0	0	0	0	0	0	0	0	0	
Mir3104	0	0	0	0	0	0	0	1	0	0	
Mir3103	0	0	0	0	0	0	0	0	0	0	
Mir3102	0	0	0	2	0	0	0	1	0	4	
Mir3101	0	0	0	0	0	0	3	0	0	0	
Mir3100	0	0	0	0	0	0	0	0	1	0	
Oscar	0	0	5	0	0	14	7	15	26	3	
Mir3109	0	0	0	1	0	0	0	0	0	1	
Mir3108	0	0	0	0	0	0	0	0	0	0	
Sirpb1a	6	16	33	3	0	4	8	4	0	0	
Sirpb1b	0	0	0	0	0	1	8	0	0	0	
B930018H19Rik	0	0	0	3	0	2	8	28	9	3	
Nfic	822	457	1446	615	351	68	703	183	113	325	
Cnr1	11	3	30	0	5	44	2	28	19	24	
Mir871	0	0	0	0	0	0	0	0	0	0	
Mir877	0	0	0	0	0	0	0	0	0	0	
Mir876	0	0	0	0	0	0	0	0	0	0	
Mir875	0	0	0	0	0	0	0	0	0	0	
Mir874	0	0	0	0	0	0	0	0	0	0	
Mir879	0	0	0	0	0	0	0	0	0	0	
Mir878	0	0	0	0	0	0	0	0	0	2	
Cxcr3	10	0	3	0	4	2	2	12	4	0	
Cxcr2	103	33	172	91	31	189	203	444	213	179	
Cxcr1	5	0	0	7	2	2	0	9	2	0	
Cxcr6	18	0	11	4	0	12	48	22	4	0	
Cxcr5	7	14	17	3	1	44	6	60	23	4	
Cxcr4	91	75	208	62	17	10	46	27	5	73	
Cyp2j11	0	0	1	0	0	2	2	9	8	2	
Cyp2j12	2	0	3	0	0	6	3	10	13	7	
Cyp2j13	4	8	12	1	7	40	18	123	63	31	
Fbxl20	235	124	498	149	107	70	556	134	64	190	
Fbxl21	0	0	2	2	2	13	20	28	21	5	
Fbxl22	3	0	60	25	4	36	19	58	26	10	
D19Bwg1357e	42	14	436	41	62	12	161	41	17	246	
5930412G12Rik	0	0	10	0	0	0	19	14	9	41	
Dlc1	1457	833	3836	1404	698	70	499	197	103	103	
Pkig	181	74	381	39	49	13	32	31	21	35	
Pkia	43	26	54	39	24	0	70	19	9	0	
Pkib	30	1	61	17	35	51	56	63	44	37	
1810026J23Rik	107	34	121	88	38	25	98	77	25	58	
Trnt1	34	26	208	47	20	1	125	35	26	84	
A930031H19Rik	0	2	1	1	0	3	0	1	13	0	
Lnpep	531	267	1451	423	374	24	804	109	51	328	
Gss	39	17	136	15	37	12	65	15	20	45	
Gsr	139	63	301	132	65	103	304	52	34	500	
Izumo1	1	0	3	0	6	15	5	26	5	0	
Gsc	1	0	2	0	1	1	0	4	1	9	
Izumo3	0	0	0	0	0	0	0	2	6	1	
Izumo4	21	13	19	39	0	1	0	7	5	0	
Gsn	2130	1462	10269	3075	1756	169	969	253	118	1059	
Wnt3	1	0	1	3	0	15	3	37	14	5	
Wnt2	2	4	26	11	7	1	4	14	6	5	
Wnt1	0	0	0	1	3	3	4	30	31	14	
Wnt6	1	1	0	0	0	6	8	24	15	5	
Wnt4	35	14	78	27	20	142	301	158	72	332	
Syngap1	11	6	27	33	4	30	67	46	26	32	
Fam219aos	0	0	0	0	0	14	6	15	4	2	
Sod2	419	216	1098	319	163	76	348	109	47	252	
Grhl1	8	1	39	9	11	84	335	63	48	72	
Grhl2	53	17	231	30	11	24	328	92	38	240	
Grhl3	0	0	8	11	3	83	56	60	43	73	
1190005I06Rik	0	0	0	0	0	0	0	0	0	0	
Defa6	0	0	0	0	0	0	0	0	0	0	
Defa5	0	0	0	0	0	0	0	1	0	0	
Defa4	0	0	0	0	0	0	0	0	0	0	
Defa3	0	0	0	0	0	0	0	0	0	0	
Defa2	0	0	0	0	0	0	0	0	0	0	
Cyp4f41-ps	0	0	0	5	0	4	0	2	5	1	
Hhatl	4	0	6	2	2	1	13	23	15	4	
Tmprss9	2	7	2	0	3	28	32	38	28	5	
Cyp4a12a	3	0	0	0	0	5	7	6	8	4	
Cyp4a12b	0	0	1	0	3	16	552	56	44	57	
Tmprss3	0	1	1	3	0	5	5	26	12	20	
Tmprss4	6	19	40	3	0	148	273	58	56	55	
Tmprss5	0	2	0	3	0	32	10	23	10	4	
Tmprss6	0	5	1	4	0	5	7	18	12	8	
Olfr237-ps1	0	0	0	0	0	8	1	6	2	0	
Trhr	1	0	4	0	2	9	1	18	7	7	
4933427I22Rik	0	0	4	0	0	2	9	25	7	6	
Tmed11	0	0	0	0	0	0	0	6	5	0	
Tmed10	682	241	1375	508	167	63	593	143	95	747	
Sdpr	1262	368	3996	862	456	41	155	57	33	86	
Gm15217	12	6	33	0	0	2	7	8	3	0	
Gulo	4	0	1	0	0	19	20	29	5	2	
Rrh	0	0	3	0	0	3	0	8	4	3	
3110082I17Rik	9	1	31	31	2	3	45	20	24	8	
Id4	90	8	49	3	17	14	282	20	18	10	
Id2	182	98	454	178	144	134	322	53	21	361	
Id3	113	66	389	158	38	9	9	8	7	21	
4930511A08Rik	0	0	0	1	0	0	0	2	1	0	
Rrnad1	22	5	20	29	11	24	58	41	22	8	
Tpd52	81	83	236	78	10	23	314	80	36	175	
Asgr1	11	1	3	0	0	1	0	8	8	0	
Asgr2	0	2	21	0	15	5	3	17	15	3	
Csn2	0	2	0	0	0	0	2	14	2	11	
Csn3	1	0	2	0	0	0	7	10	3	0	
Supt16	320	88	1239	276	147	66	516	82	63	476	
Trub1	30	9	65	22	4	106	65	92	56	80	
Trub2	49	41	65	26	0	6	74	33	34	7	
Ids	840	366	1655	931	467	159	321	110	44	571	
Gm13119	0	0	0	0	0	6	0	9	13	5	
Zfp507	29	22	232	52	27	99	196	65	31	59	
Ide	83	37	428	74	84	72	271	84	47	183	
Arpp21	2	2	2	13	3	41	17	86	53	8	
Barhl2	41	20	42	38	29	77	62	150	77	31	
Barhl1	2	12	5	1	3	25	27	56	27	9	
Gsta4	31	9	381	79	6	499	2657	239	192	1258	
Gsta1	0	0	0	0	0	0	0	0	1	0	
Gsta2	0	0	1	6	0	0	8	1	0	0	
Gsta3	137	154	584	108	98	41	266	20	31	4	
Lyl1	9	0	47	9	4	3	24	18	16	4	
Med30	23	0	42	29	9	0	37	1	6	9	
Med31	8	1	60	1	12	0	50	3	6	0	
Tmem29	15	2	6	17	0	9	16	21	8	95	
Gcm1	438	260	841	396	147	158	206	294	109	289	
Tmem28	19	1	19	4	0	0	3	28	3	2	
Gm6537	0	0	0	1	0	5	6	18	3	4	
Ccnyl1	67	31	142	66	23	48	239	90	51	27	
Tat	15	3	1	0	0	14	15	50	35	23	
1700018G05Rik	0	0	0	0	0	1	0	1	0	0	
Upk2	4	11	0	1	0	10	6	15	4	0	
Taz	127	111	84	30	22	5	157	16	6	105	
Apoc4-apoc2	0	0	0	0	0	0	0	0	0	0	
Mir409	0	0	0	0	0	0	0	0	0	0	
Aacs	27	15	90	28	3	19	27	23	15	87	
Olfr196	0	0	0	0	0	1	0	0	0	0	
Olfr197	0	0	0	0	0	4	0	0	4	0	
Olfr194	0	0	0	0	0	0	0	3	1	0	
Olfr195	0	0	0	0	0	3	2	0	3	0	
Olfr192	0	0	0	0	0	0	2	2	1	0	
Olfr193	0	0	0	0	1	0	0	4	6	0	
Olfr190	0	0	0	0	0	0	0	5	0	0	
Olfr191	0	0	0	0	0	0	0	4	1	0	
Immp1l	0	0	66	1	1	2	17	3	1	18	
Prl7a1	0	0	0	0	0	0	0	0	0	0	
2010308F09Rik	1	0	0	0	0	1	0	2	2	3	
Olfr198	0	1	1	0	0	11	2	4	6	0	
Olfr199	0	0	0	0	0	0	0	0	3	0	
Hotair	1	3	7	1	0	9	33	22	17	8	
Lrrc18	5	0	0	1	5	10	30	29	5	23	
Lrrc19	10	9	3	33	3	10	4	14	12	5	
Lrrc17	5	7	8	11	26	10	8	35	9	9	
Lrrc14	4	15	5	0	6	26	27	18	16	2	
Lrrc15	0	3	3	1	1	42	20	67	47	4	
Lrrc10	0	1	1	10	3	26	19	30	13	7	
Basp1	32	16	5	3	36	20	49	15	23	60	
Fiz1	61	8	129	35	7	23	105	30	19	86	
Nespas	0	0	2	0	1	7	2	14	14	8	
Apopt1	39	30	188	33	30	44	182	225	158	48	
Myd88	80	34	224	116	35	81	122	44	34	116	
Gm20806	0	0	0	0	0	0	0	0	1	0	
D930016D06Rik	28	25	87	35	17	5	26	19	7	22	
Gm20809	0	0	0	0	0	0	0	0	0	0	
1700012B09Rik	13	17	1	0	1	0	3	2	7	0	
Gm11186	1	4	0	0	0	13	2	12	12	2	
